Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
252,Naby Keïta,gn GUI,MF,Liverpool,26,1995,23,14,"1,173",13,3,1,4,3,0,0,3,0,2.2,2.2,1.9,4.1,39,75,42,0.23,0.08,0.31,0.23,0.31,0.17,0.14,0.31,0.17,0.31,Matches
253,Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
254,Kenedy,br BRA,DF,Chelsea,25,1996,1,1,58,0.6,0,1,1,0,0,0,0,0,0,0,0.6,0.6,2,5,10,0,1.55,1.55,0,1.55,0.06,0.94,1,0.06,1,Matches
255,Jonjoe Kenny,eng ENG,DF,Everton,24,1997,15,11,"1,018",11.3,0,1,1,0,0,0,3,1,0.2,0.2,0.8,1,9,36,25,0,0.09,0.09,0,0.09,0.02,0.07,0.09,0.02,0.09,Matches
256,Max Kilman,eng ENG,DF,Wolves,24,1997,30,30,"2,687",29.9,1,0,1,1,0,0,3,0,1.1,1.1,0.2,1.3,31,95,7,0.03,0,0.03,0.03,0.03,0.04,0.01,0.04,0.04,0.04,Matches
257,Joshua King,no NOR,FW,Watford,29,1992,32,27,"2,248",25,5,3,8,4,1,1,5,0,8.9,8.1,3.8,11.9,41,39,157,0.2,0.12,0.32,0.16,0.28,0.36,0.15,0.51,0.32,0.48,Matches
258,Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
259,Mateusz Klich,pl POL,MF,Leeds United,31,1990,33,26,"2,073",23,1,2,3,1,0,0,5,0,2.8,2.8,2.2,5,45,105,129,0.04,0.09,0.13,0.04,0.13,0.12,0.1,0.22,0.12,0.22,Matches
260,Robin Koch,de GER,"MF,DF",Leeds United,25,1996,20,17,"1,574",17.5,0,0,0,0,0,0,3,0,0.8,0.8,0.4,1.2,3,52,14,0,0,0,0,0,0.04,0.02,0.07,0.04,0.07,Matches
261,Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
262,Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,11,990,11,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,7,51,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
263,Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,29,29,"2,477",27.5,2,0,2,2,0,0,6,2,1.6,1.6,0.3,1.9,8,45,7,0.07,0,0.07,0.07,0.07,0.06,0.01,0.07,0.06,0.07,Matches
264,Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,27,23,"1,974",21.9,0,1,1,0,0,0,3,0,0.5,0.5,0.8,1.3,7,54,9,0,0.05,0.05,0,0.05,0.02,0.04,0.06,0.02,0.06,Matches
265,Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,25,16,"1,558",17.3,2,5,7,2,0,0,4,0,1.6,1.6,3.2,4.7,42,135,37,0.12,0.29,0.4,0.12,0.4,0.09,0.18,0.27,0.09,0.27,Matches
266,Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,20,18,"1,634",18.2,0,1,1,0,0,0,5,0,0.3,0.3,1,1.3,29,50,24,0,0.06,0.06,0,0.06,0.02,0.06,0.07,0.02,0.07,Matches
267,Alex Král,cz CZE,MF,West Ham,23,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
268,Tim Krul,nl NED,GK,Norwich City,33,1988,29,29,"2,610",29,0,0,0,0,0,0,1,0,0,0,0.6,0.6,0,1,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
269,Juraj Kucka,sk SVK,MF,Watford,34,1987,26,22,"1,920",21.3,1,1,2,1,0,0,5,1,3.2,3.2,0.9,4.1,21,60,31,0.05,0.05,0.09,0.05,0.09,0.15,0.04,0.19,0.15,0.19,Matches
270,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,21,2000,18,14,"1,261",14,5,8,13,5,0,0,3,0,2.7,2.7,3.4,6.2,51,35,100,0.36,0.57,0.93,0.36,0.93,0.2,0.25,0.44,0.2,0.44,Matches
271,Alexandre Lacazette,fr FRA,FW,Arsenal,30,1991,30,20,"1,782",19.8,4,7,11,2,2,3,0,0,8.4,6,3,9.1,19,52,106,0.2,0.35,0.56,0.1,0.45,0.42,0.15,0.58,0.3,0.46,Matches
272,Adam Lallana,eng ENG,MF,Brighton,33,1988,24,18,"1,561",17.3,0,1,1,0,0,0,4,0,1.1,1.1,0.9,2,17,76,47,0,0.06,0.06,0,0.06,0.06,0.05,0.11,0.06,0.11,Matches
273,Tariq Lamptey,gh GHA,"DF,FW",Brighton,20,2000,30,16,"1,561",17.3,0,2,2,0,0,0,4,0,0.8,0.8,2.6,3.4,81,36,153,0,0.12,0.12,0,0.12,0.05,0.15,0.2,0.05,0.2,Matches
274,Manuel Lanzini,ar ARG,"MF,FW",West Ham,28,1993,30,19,"1,786",19.8,5,3,8,2,3,3,2,0,3.7,1.3,2.4,3.7,29,119,57,0.25,0.15,0.4,0.1,0.25,0.19,0.12,0.31,0.07,0.19,Matches
275,Aymeric Laporte,es ESP,DF,Manchester City,27,1994,33,33,"2,828",31.4,4,0,4,4,0,0,5,1,4.9,4.9,0.6,5.5,51,271,8,0.13,0,0.13,0.13,0.13,0.16,0.02,0.18,0.16,0.18,Matches
276,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,26,22,"2,058",22.9,1,0,1,1,0,0,5,0,0.9,0.9,0.4,1.3,0,18,5,0.04,0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches
277,Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,33,27,"2,265",25.2,1,0,1,1,0,0,5,0,1.6,1.6,1.9,3.6,33,114,60,0.04,0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,Matches
278,Aaron Lennon,eng ENG,"MF,FW",Burnley,34,1987,28,17,"1,551",17.2,2,0,2,2,0,0,2,0,1.1,1.1,0.5,1.6,38,19,77,0.12,0,0.12,0.12,0.12,0.06,0.03,0.09,0.06,0.09,Matches
279,Bernd Leno,de GER,GK,Arsenal,29,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
